interaction_id,customer_id,channel,sentiment,support_tickets_count,interaction_timestamp,_ingest_timestamp,_source_file,_source_system,_batch_id
INT-00185,CUST-0150,Web,Neutral,3,2024-01-23 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00186,CUST-0153,Phone Support,Neutral,0,2024-02-12 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00187,CUST-0028,In-Store,Negative,2,2024-01-28 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00188,CUST-0196,Web,Neutral,0,2024-01-26 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00189,CUST-0146,In-Store,Negative,2,2024-02-05 16:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00190,CUST-0019,Phone Support,Negative,2,2024-01-26 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00191,CUST-0160,Web,Positive,0,2024-02-14 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00192,CUST-0101,In-Store,Positive,1,2024-01-24 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00193,CUST-0155,Web,Positive,0,2024-02-02 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00194,CUST-0036,Phone Support,Negative,3,2024-02-15 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00195,CUST-0039,Mobile App,Neutral,2,2024-02-09 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00196,CUST-0042,In-Store,Negative,2,2024-01-27 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00197,CUST-0130,Phone Support,Negative,2,2024-02-03 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00198,CUST-0122,In-Store,Negative,0,2024-01-02 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00199,CUST-0107,Web,Negative,3,2024-02-07 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00200,CUST-0068,Mobile App,Negative,0,2024-02-12 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00201,CUST-0150,Phone Support,Positive,1,2024-01-31 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00202,CUST-0009,Web,Positive,0,2024-02-07 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00203,CUST-0113,Mobile App,Neutral,1,2024-01-21 23:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00204,CUST-0106,Phone Support,Negative,0,2024-02-03 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00205,CUST-0181,Mobile App,Negative,2,2024-01-10 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00206,CUST-0170,Phone Support,Neutral,1,2024-02-01 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00207,CUST-0118,In-Store,Negative,2,2024-02-04 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00208,CUST-0157,Mobile App,Neutral,2,2024-01-31 16:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00209,CUST-0058,Mobile App,Negative,3,2024-01-20 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00210,CUST-0082,In-Store,Neutral,0,2024-01-31 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00211,CUST-0147,Phone Support,Neutral,2,2024-02-14 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00212,CUST-0198,Web,Neutral,0,2024-01-10 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00213,CUST-0089,In-Store,Negative,3,2024-01-30 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00214,CUST-0055,In-Store,Negative,2,2024-01-14 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00215,CUST-0036,Mobile App,Positive,0,2024-01-08 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00216,CUST-0172,Mobile App,Positive,0,2024-02-03 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00217,CUST-0106,Phone Support,Positive,1,2024-01-23 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00218,CUST-0002,Phone Support,Negative,3,2024-02-05 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00219,CUST-0123,In-Store,Neutral,2,2024-02-11 16:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00220,CUST-0166,Mobile App,Negative,0,2024-01-04 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00221,CUST-0045,Web,Neutral,3,2024-01-27 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00222,CUST-0048,Web,Neutral,0,2024-01-19 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00223,CUST-0086,Phone Support,Positive,3,2024-01-20 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00224,CUST-0070,In-Store,Positive,3,2024-01-13 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00225,CUST-0166,Mobile App,Positive,2,2024-01-18 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00226,CUST-0076,Mobile App,Positive,3,2024-02-07 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00227,CUST-0110,Web,Neutral,0,2024-02-02 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00228,CUST-0048,In-Store,Positive,0,2024-01-10 01:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00229,CUST-0067,Phone Support,Neutral,2,2024-01-25 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00230,CUST-0078,Web,Neutral,2,2024-02-08 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00231,CUST-0178,Web,Neutral,2,2024-01-16 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00232,CUST-0041,In-Store,Negative,0,2024-01-27 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00233,CUST-0164,Mobile App,Positive,1,2024-01-19 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00234,CUST-0123,In-Store,Neutral,3,2024-01-11 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00235,CUST-0194,Mobile App,Positive,0,2024-02-05 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00236,CUST-0135,In-Store,Positive,0,2024-01-30 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00237,CUST-0016,Mobile App,Negative,1,2024-02-06 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00238,CUST-0043,Phone Support,Positive,1,2024-01-22 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00239,CUST-0184,Web,Negative,3,2024-02-08 01:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00240,CUST-0015,Phone Support,Neutral,0,2024-01-30 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00241,CUST-0144,In-Store,Negative,0,2024-01-31 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00242,CUST-0102,Mobile App,Negative,0,2024-01-17 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00243,CUST-0012,Web,Negative,0,2024-01-28 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00244,CUST-0018,In-Store,Neutral,1,2024-01-31 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00245,CUST-0197,Phone Support,Neutral,3,2024-01-10 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00246,CUST-0115,Web,Negative,1,2024-01-25 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00247,CUST-0168,Mobile App,Negative,3,2024-01-23 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00248,CUST-0136,Mobile App,Positive,0,2024-01-10 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00249,CUST-0077,Phone Support,Negative,3,2024-01-31 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00250,CUST-0059,In-Store,Positive,2,2024-01-17 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00251,CUST-0049,Phone Support,Negative,0,2024-01-08 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00252,CUST-0062,Web,Negative,0,2024-01-14 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00253,CUST-0115,Web,Positive,0,2024-02-09 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00254,CUST-0103,Mobile App,Positive,1,2024-01-29 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00255,CUST-0129,In-Store,Negative,2,2024-01-19 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00256,CUST-0061,Mobile App,Neutral,2,2024-01-20 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00257,CUST-0071,Mobile App,Negative,3,2024-01-05 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00258,CUST-0143,In-Store,Negative,3,2024-02-01 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00259,CUST-0135,Phone Support,Neutral,1,2024-01-22 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00260,CUST-0077,Phone Support,Positive,1,2024-01-25 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00261,CUST-0077,Phone Support,Positive,3,2024-02-15 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00262,CUST-0107,Mobile App,Neutral,1,2024-02-06 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00263,CUST-0066,Web,Neutral,2,2024-01-14 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00264,CUST-0024,Mobile App,Positive,2,2024-02-05 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00265,CUST-0097,Web,Positive,1,2024-02-14 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00266,CUST-0195,Mobile App,Neutral,1,2024-02-08 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00267,CUST-0086,Mobile App,Positive,0,2024-01-20 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00268,CUST-0192,Mobile App,Neutral,1,2024-01-31 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00269,CUST-0142,Phone Support,Neutral,2,2024-01-21 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00270,CUST-0079,Phone Support,Neutral,0,2024-01-17 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00271,CUST-0185,Mobile App,Neutral,2,2024-01-31 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00272,CUST-0106,Mobile App,Negative,1,2024-01-04 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00273,CUST-0005,Phone Support,Neutral,1,2024-01-18 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00274,CUST-0051,Phone Support,Negative,1,2024-01-22 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00275,CUST-0128,In-Store,Neutral,3,2024-02-06 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00276,CUST-0186,Phone Support,Neutral,1,2024-02-12 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00277,CUST-0188,Mobile App,Negative,3,2024-01-23 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00278,CUST-0048,Web,Negative,0,2024-02-05 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00279,CUST-0020,Web,Neutral,1,2024-02-12 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00280,CUST-0162,Mobile App,Positive,1,2024-01-15 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00281,CUST-0130,Web,Negative,3,2024-01-30 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00282,CUST-0169,Web,Negative,3,2024-02-01 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00283,CUST-0004,In-Store,Negative,2,2024-01-03 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00284,CUST-0005,Phone Support,Positive,0,2024-02-03 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00285,CUST-0025,Mobile App,Positive,2,2024-02-03 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00286,CUST-0091,Web,Neutral,3,2024-01-18 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00287,CUST-0118,Mobile App,Neutral,0,2024-02-06 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00288,CUST-0168,Web,Neutral,3,2024-02-11 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00289,CUST-0097,Web,Negative,0,2024-02-06 01:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00290,CUST-0180,Phone Support,Neutral,2,2024-01-11 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00291,CUST-0145,Web,Positive,1,2024-01-08 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00292,CUST-0178,In-Store,Positive,0,2024-02-07 01:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00293,CUST-0176,Web,Positive,2,2024-01-19 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00294,CUST-0005,Mobile App,Negative,3,2024-01-15 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00295,CUST-0020,Mobile App,Negative,3,2024-01-20 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00296,CUST-0174,Phone Support,Negative,1,2024-02-04 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00297,CUST-0177,In-Store,Positive,0,2024-01-07 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00298,CUST-0112,In-Store,Negative,3,2024-01-15 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00299,CUST-0199,In-Store,Neutral,3,2024-01-21 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00300,CUST-0059,Phone Support,Neutral,1,2024-01-24 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
